vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,2,IM,+3.14872929637579797e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,4,RE,-1.95385585687767260e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,4,IM,+2.09768413382034406e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,6,RE,-3.44447047490117898e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,6,IM,+1.17225222318400605e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,2,RE,-7.48362001212392369e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,2,IM,+3.00613150268441282e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,4,RE,-2.58521800062696658e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,4,IM,+1.94217550697508494e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,6,RE,-5.32437874983755392e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,17,+2.61015721568253574e-03,6,IM,+1.05301750160957252e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,2,RE,-2.99214005941030028e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,2,IM,+2.84396391042566182e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,4,RE,-2.73183947046682611e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,4,IM,+1.77061170646311275e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,6,RE,-3.29176227861660882e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,18,+3.16227766016837939e-03,6,IM,+9.25572225924174694e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,2,RE,-3.78848828953678158e-31
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,2,IM,+2.66167563268918373e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,4,RE,-9.91501446613877416e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,4,IM,+1.58473304367681773e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,6,RE,-6.90970260926035196e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,19,+3.83118684955728508e-03,6,IM,+7.92680557905555830e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,2,RE,+2.97289969873578978e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,2,IM,+2.45953336711735635e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,4,RE,-3.10663072192316486e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,4,IM,+1.38761654768425444e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,6,RE,-2.74560209839455440e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,20,+4.64158883361277721e-03,6,IM,+6.58132254154851179e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,2,RE,-3.27017396642139084e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,2,IM,+2.23888618792456952e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,4,RE,+7.35506550145859114e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,4,IM,+1.18381087135751106e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,6,RE,-1.07368298767531676e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,21,+5.62341325190349097e-03,6,IM,+5.26594566296605167e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,2,RE,-1.77333305860208797e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,2,IM,+2.00241242622624541e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,4,RE,-1.57682444837028190e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,4,IM,+9.79291151272986805e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,6,RE,-1.67549526502394902e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,22,+6.81292069057960834e-03,6,IM,+4.03234876993782818e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,2,RE,-1.82842739339611307e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,2,IM,+1.75429919096449200e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,4,RE,+1.61043711515142335e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,4,IM,+7.81148686884942856e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,6,RE,-4.67894701174180152e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,23,+8.25404185268018183e-03,6,IM,+2.93101317852778220e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,2,RE,-7.75681280221140155e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,2,IM,+1.50029093583696156e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,4,RE,+2.99067421390109593e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,4,IM,+5.96958943150011034e-14
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,6,RE,+6.47855975110183379e-31
TOTAL,REFERENCE,+1.00000000000000002e-03,24,+1.00000000000000002e-02,6,IM,+2.00330830270619471e-14
