vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,2,IM,+5.84270097690672690e-31
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,4,RE,+1.37044037884734209e-43
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,4,IM,+1.16705802179087381e-30
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,6,RE,+1.35274853712412778e-43
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,6,IM,+1.74688588870987619e-30
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,2,RE,+5.82533733491567786e-45
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,2,IM,+2.61833061058546509e-32
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,4,RE,+5.82656046997346184e-45
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,4,IM,+5.23001114799432691e-32
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,6,RE,+5.77138495521073582e-45
YUKAWA,GRID_01,+1.46779926762207055e-05,5,+2.61015721568253574e-04,6,IM,+7.82841085950195155e-32
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,2,RE,+1.38819648544408348e-46
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,2,IM,+6.08354433477795169e-34
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,4,RE,+1.37985298663141256e-46
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,4,IM,+1.21516149961695802e-33
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,6,RE,+1.36381076810001225e-46
YUKAWA,GRID_01,+1.46779926762207055e-05,6,+3.16227766016837939e-04,6,IM,+1.81887834735025127e-33
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,2,RE,-2.29425539804413426e-48
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,2,IM,+6.37763508507821813e-36
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,4,RE,-2.29376612977104442e-48
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,4,IM,+1.27390192222659285e-35
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,6,RE,-2.28920065411709517e-48
YUKAWA,GRID_01,+1.46779926762207055e-05,7,+3.83118684955728529e-04,6,IM,+1.90679491625935380e-35
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,2,RE,-9.78632021432387141e-51
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,2,IM,+2.54926266947660406e-38
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,4,RE,-9.72817113473483617e-51
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,4,IM,+5.09201504389001544e-38
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,6,RE,-9.73529978751327552e-51
YUKAWA,GRID_01,+1.46779926762207055e-05,8,+4.64158883361277732e-04,6,IM,+7.62176606912923902e-38
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,2,RE,-1.21604184802804188e-53
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,2,IM,+3.16834604397499916e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,4,RE,-1.21114679434458335e-53
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,4,IM,+6.32857839662096878e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,6,RE,-1.20746590971745625e-53
YUKAWA,GRID_01,+1.46779926762207055e-05,9,+5.62341325190349097e-04,6,IM,+9.47260755041818893e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,2,RE,-3.34003818262683239e-57
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,2,IM,+9.56272356639881730e-45
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,4,RE,-3.32756929790796042e-57
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,4,IM,+1.91008739111840826e-44
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,6,RE,-3.33586961994011178e-57
YUKAWA,GRID_01,+1.46779926762207055e-05,10,+6.81292069057960856e-04,6,IM,+2.85899518239272954e-44
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,2,RE,+1.11253954944061651e-61
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,2,IM,+5.19541521982362246e-49
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,4,RE,+1.10325538285996369e-61
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,4,IM,+1.03774222186496924e-48
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,6,RE,+1.09039548653039684e-61
YUKAWA,GRID_01,+1.46779926762207055e-05,11,+8.25404185268018118e-04,6,IM,+1.55326536816931573e-48
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,2,RE,+7.34063974270524575e-67
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,2,IM,+3.53503209365668039e-54
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,4,RE,+7.27914198385391750e-67
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,4,IM,+7.06089150105667052e-54
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,6,RE,+7.16997062279889516e-67
YUKAWA,GRID_01,+1.46779926762207055e-05,12,+1.00000000000000002e-03,6,IM,+1.05684339678548602e-53
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,2,RE,+3.91117361254366903e-73
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,2,IM,+1.94093471471541589e-60
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,4,RE,+3.87724835656475297e-73
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,4,IM,+3.87679849581950465e-60
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,6,RE,+3.83419654850523922e-73
YUKAWA,GRID_01,+1.46779926762207055e-05,13,+1.21152765862858765e-03,6,IM,+5.80253643886170248e-60
